,rank,name,link,location,points,Total students,International students,Total faculty staff,International Students Ratio,Citations per Faculty,Employer Reputation,Employment Outcomes,Overall,International Research Network,International Faculty Ratio,Academic Reputation,Faculty Student Ratio
534,531-540,Iran University of Science and Technology,https://www.topuniversities.com/universities/iran-university-science-technology,"Tehran, Iran",-,15299.0,163.0,532,1.5,89.7,15.2,25.4,,48.7,,6.7,2.7
535,531-540,Sabanci University,https://www.topuniversities.com/universities/sabanci-university,"Istanbul, Turkey",-,3966.0,441.0,390,17,18.1,27.4,46.9,,24.3,40.5,16.2,37
536,531-540,Saint Joseph University of Beirut (USJ),https://www.topuniversities.com/universities/saint-joseph-university-beirut-usj,"Beirut, Lebanon",-,7714.0,920.0,886,19.2,2.8,27.1,8.4,,19.5,88.8,9.1,52.3
537,531-540,"Universidad Central ""Marta Abreu"" de Las Villas",https://www.topuniversities.com/universities/universidad-central-marta-abreu-de-las-villas,"Santa Clara, Cuba",-,6950.0,61.0,"1,676",1.5,1.2,1.4,46.8,,13.2,1.1,6,100
538,531-540,University of Balamand,https://www.topuniversities.com/universities/university-balamand,"Beirut, Lebanon",-,3876.0,508.0,601,22.8,1.9,11.1,11.2,,16.3,15.8,4.5,88.3
539,531-540,University of Limerick,https://www.topuniversities.com/universities/university-limerick,"Limerick, Ireland",-,14589.0,1955.0,989,23.8,22.3,34.5,17.4,,67.9,87.9,17.1,12.8
540,541-550,Canadian University Dubai,https://www.topuniversities.com/universities/canadian-university-dubai, United Arab Emirates,-,1051.0,767.0,102,100,2,19.8,67.6,,6,100,10.4,29.1
541,541-550,"China University of Petroleum, Beijing",https://www.topuniversities.com/universities/china-university-petroleum-beijing,"Beijing, China (Mainland)",-,15445.0,772.0,0,5.2,95.7,1.3,21.1,,18.7,,3.5,7.8
542,541-550,East China Normal University,https://www.topuniversities.com/universities/east-china-normal-university,"Shanghai, China (Mainland)",-,28546.0,3697.0,"2,336",22.3,44.3,3.4,12,,68,37.9,13.4,23.9
543,541-550,Savitribai Phule Pune University,https://www.topuniversities.com/universities/savitribai-phule-pune-university,"Pune, India",-,4427.0,135.0,686,3.1,29.6,5.4,39.7,,31.1,1.1,7,64.6
544,541-550,Southern Federal University,https://www.topuniversities.com/universities/southern-federal-university,"Rostov-on-Don, Russia",-,17451.0,2697.0,"2,682",30.8,1.8,4.1,3.2,,39.6,3.9,7.3,84.7
545,541-550,Universidad Nacional de La Plata (UNLP),https://www.topuniversities.com/universities/universidad-nacional-de-la-plata-unlp,"La Plata, Argentina",-,57931.0,6976.0,"5,543",19.6,2.2,19.7,4.8,,40.5,4,36.3,21.6
546,541-550,Universidad Panamericana (UP),https://www.topuniversities.com/universities/universidad-panamericana,"Mexico City, Mexico",-,13534.0,115.0,"1,984",1.4,1.2,29.3,10.4,,10.8,12.2,7.6,78.2
547,541-550,University of Madras,https://www.topuniversities.com/universities/university-madras,"Chennai, India",-,3582.0,30.0,245,,94.2,3.6,,,35.6,,8,
548,541-550,Universität Konstanz,https://www.topuniversities.com/universities/universitat-konstanz,"Konstanz, Germany",-,11419.0,1237.0,"1,039",16.2,16.2,3.6,21.4,,62.6,69.8,21.7,29.9
549,541-550,Universität Mannheim,https://www.topuniversities.com/universities/universitat-mannheim,"Mannheim, Germany",-,9839.0,1917.0,307,22.8,44.5,40.3,44.5,,29.1,30.8,15.7,2.3
550,541-550,V. N. Karazin Kharkiv National University,https://www.topuniversities.com/universities/v-n-karazin-kharkiv-national-university,"Kharkiv, Ukraine",-,17184.0,4293.0,"2,110",68.4,1.5,14.6,11.5,,26.1,1.3,12,62.6
551,551-560,Anna University,https://www.topuniversities.com/universities/anna-university,"Chennai, India",-,13053.0,188.0,707,1.8,85.2,11.3,26.7,,72.5,,6.8,5.6
552,551-560,Cairo University,https://www.topuniversities.com/universities/cairo-university,"Giza, Egypt",-,199958.0,10572.0,"12,161",5.5,2.6,27.2,36.6,,86.8,2.4,41.6,9.4
553,551-560,Concordia University,https://www.topuniversities.com/universities/concordia-university,"Montreal, Canada",-,36177.0,12212.0,"1,371",91.6,24.3,23.2,33.5,,74.9,80.8,14.3,3.1
554,551-560,Jeonbuk National University,https://www.topuniversities.com/universities/jeonbuk-national-university,"Jeonju, South Korea",-,19365.0,1385.0,"2,427",8.3,10.8,10.3,6.2,,40.6,8.7,14.4,62.4
555,551-560,Masaryk University,https://www.topuniversities.com/universities/masaryk-university,"Brno, Czechia",-,29768.0,7316.0,"1,945",66.9,14.9,25.8,23.5,,85,31.3,23.7,11.5
556,551-560,National Research Saratov State University,https://www.topuniversities.com/universities/national-research-saratov-state-university,"Saratov, Russia",-,9336.0,1306.0,"1,718",16.5,1.9,1.8,5.3,,18.9,3.6,4,94.2
557,551-560,Northwestern Polytechnical University,https://www.topuniversities.com/universities/northwestern-polytechnical-university,"Xi'an, China (Mainland)",-,32862.0,1423.0,"3,644",4.4,45.1,1.8,4.9,,54.6,13.1,4.7,50.1
558,551-560,Sejong University,https://www.topuniversities.com/universities/sejong-university,"Seoul, South Korea",-,12250.0,1728.0,922,26.1,48.2,16.7,3.9,,57.7,26.5,11.8,17.3
559,551-560,Universidad de Zaragoza,https://www.topuniversities.com/universities/universidad-de-zaragoza,"Zaragoza, Spain",-,28507.0,1993.0,"3,508",8.1,7.8,4.2,10.1,,86.9,4.4,21.8,53.9
560,551-560,University of Eastern Finland,https://www.topuniversities.com/universities/university-eastern-finland,"Kuopio, Finland",-,11913.0,669.0,"1,207",6,25.2,12.6,6.3,,81.7,27.9,15.1,40
561,551-560,University of Szeged,https://www.topuniversities.com/universities/university-szeged,"Szeged, Hungary",-,18717.0,3941.0,"2,080",53,4.7,11.1,15,,76.5,12.9,17.7,48.7
562,561-570,Almaty Technological University,https://www.topuniversities.com/universities/almaty-technological-university,"Provo, Kazakhstan",-,7022.0,400.0,"1,120",6.1,1,3.4,19.4,,4.7,21,4.6,90.5
563,561-570,Applied Science University - Bahrain,https://www.topuniversities.com/universities/applied-science-university-bahrain,"Al-Ekir, Bahrain",-,1860.0,334.0,178,40.4,1.5,20.3,1.2,,4.3,100,14.2,34.4
564,561-570,Aston University,https://www.topuniversities.com/universities/aston-university,"Birmingham, United Kingdom",-,13877.0,3275.0,957,48.6,26.2,19.6,23.8,,70.7,96,12,12.7
565,561-570,Bilkent University,https://www.topuniversities.com/universities/bilkent-university,"Ankara, Turkey",-,9650.0,721.0,710,8.9,16.5,34.1,37.3,,31.7,64.2,20.2,16.2
566,561-570,Boston College,https://www.topuniversities.com/universities/boston-college,"Chestnut Hill, United States",-,14945.0,1735.0,"1,078",21.5,24.1,20.4,69.9,,40,13.3,21.1,23.5
567,561-570,Dalian University of Technology,https://www.topuniversities.com/universities/dalian-university-technology,"Dalian, China (Mainland)",-,37163.0,1028.0,"2,823",2.8,71.9,2.3,13.2,,61.1,12.5,8.2,15.7
568,561-570,Murdoch University,https://www.topuniversities.com/universities/murdoch-university,"Murdoch, Australia",-,11098.0,3106.0,564,77.1,44.6,7.5,19,,74.5,86.4,6.7,5.8
569,561-570,Niigata University,https://www.topuniversities.com/universities/niigata-university,"Niigata City, Japan",-,12248.0,457.0,"1,970",3.7,5.1,2.8,5.6,,26.4,4.8,4.3,91.1
570,561-570,Singapore Management University,https://www.topuniversities.com/universities/singapore-management-university,"Singapore, Singapore",-,8745.0,2008.0,605,60.7,24.2,16.9,84.8,,14.3,100,11.2,13.5
571,561-570,"Sofia University ""St. Kliment Ohridski""",https://www.topuniversities.com/universities/sofia-university-st-kliment-ohridski,"Sofia, Bulgaria",-,19562.0,1564.0,"2,488",9.9,2,21,54,,36.8,3.1,14.4,64.3
572,561-570,Universidad de Sevilla,https://www.topuniversities.com/universities/universidad-de-sevilla,"Seville, Spain",-,50041.0,4091.0,"3,732",11,9.1,8.9,4.2,,93.1,3.9,37.4,16.8
573,561-570,University of Electronic Science and Technology of China,https://www.topuniversities.com/universities/university-electronic-science-technology-china,"Chengdu, China (Mainland)",-,33428.0,960.0,"2,032",2.9,89,2.3,7.9,,53.6,3.7,3.7,9.4
574,561-570,University of Ulsan,https://www.topuniversities.com/universities/university-ulsan,"Ulsan, South Korea",-,12415.0,553.0,"1,584",4.5,27.2,2.6,3.9,,33.5,3.1,5.3,67.4
575,561-570,Università degli Studi di Pavia,https://www.topuniversities.com/universities/universita-degli-studi-di-pavia,"Pavia, Italy",-,19171.0,1819.0,"1,123",13,52.5,5.6,19.8,,86.5,7.4,20.5,7.1
576,571-580,Hallym University,https://www.topuniversities.com/universities/hallym-university,"Chuncheon, South Korea",-,7759.0,267.0,"1,336",3.4,6.8,1.5,4.6,,17,4.7,2.1,93.8
577,571-580,Holy Spirit University of Kaslik,https://www.topuniversities.com/universities/holy-spirit-university-kaslik,"Jounieh, Lebanon",-,5182.0,889.0,635,37.3,1.8,8.6,9,,7.1,98.7,5.2,57.3
578,571-580,Nagasaki University,https://www.topuniversities.com/universities/nagasaki-university,"Nagasaki City, Japan",-,8809.0,434.0,"1,300",5.1,7,2.3,5.9,,57.1,7.2,6.4,83.8
579,571-580,Universitat de Valencia,https://www.topuniversities.com/universities/universitat-de-valencia,"València, Spain",-,48010.0,5558.0,"3,180",17.8,22.7,7.1,15.3,,93.4,2.5,32,12
580,571-580,Université de Fribourg,https://www.topuniversities.com/universities/universite-de-fribourg,"Fribourg, Switzerland",-,10944.0,2200.0,589,47.5,41.5,5.3,29.5,,52.3,100,10.4,5.7
581,571-580,Université du Québec,https://www.topuniversities.com/universities/universite-du-quebec,"Québec, Canada",-,73206.0,6970.0,"1,769",14.5,43.8,19.5,3.9,,90.2,38.1,19.5,1.7
582,581-590,Indian Institute of Technology Hyderabad (IITH),https://www.topuniversities.com/universities/indian-institute-technology-hyderabad-iith,"Sangareddy, India",-,3178.0,28.0,252,1.5,76.8,2.3,19.5,,20.4,1.3,3.5,20.1
583,581-590,Macau University of Science and Technology,https://www.topuniversities.com/universities/macau-university-science-technology, Macau SAR,-,10550.0,8869.0,486,100,43.3,3.5,80.4,,21.4,100,3.4,4.7
584,581-590,National Central University,https://www.topuniversities.com/universities/national-central-university,"Taoyuan City, Taiwan",-,11173.0,913.0,984,10.2,20.6,25.4,16,,37.9,15.3,20.1,27.2
585,581-590,Shenzhen University,https://www.topuniversities.com/universities/shenzhen-university,"Shenzhen, China (Mainland)",-,39927.0,330.0,"5,223",1.4,17.8,2.2,24.9,,65.1,10.7,7.1,70.4
586,581-590,University of Delaware,https://www.topuniversities.com/universities/university-delaware,"Newark, United States",-,21747.0,2337.0,"1,272",16,58.8,9.6,28.8,,61.2,37.2,10.4,8.5
587,581-590,University of Massachusetts Boston,https://www.topuniversities.com/universities/university-massachusetts-boston,"Boston, United States",-,12751.0,1173.0,820,12.3,61,8.6,3.1,,71.2,4.6,12.8,11
588,581-590,Universität Regensburg,https://www.topuniversities.com/universities/universitat-regensburg,"Regensburg, Germany",-,20539.0,1705.0,"3,252",10.5,7.8,5.3,9.3,,69.1,,11.1,70.8
589,581-590,Université Paul Sabatier Toulouse III,https://www.topuniversities.com/universities/universite-paul-sabatier-toulouse-iii,"Toulouse, France",-,31388.0,4049.0,"3,029",25.5,15.9,3.5,4.3,,91.2,6.1,18.9,43.1
590,591-600,China Agricultural University,https://www.topuniversities.com/universities/china-agricultural-university,"Beijing, China (Mainland)",-,20514.0,245.0,"1,669",1.7,63.9,1.6,3.4,,49.2,3.8,8.5,21.7
591,591-600,Hunan University,https://www.topuniversities.com/universities/hunan-university,"Changsha, China (Mainland)",-,38180.0,687.0,"2,972",2.1,72.2,7.4,19.3,,38.6,5.5,7,12.7
592,591-600,Lehigh University,https://www.topuniversities.com/universities/lehigh-university,"Bethlehem, United States",-,6518.0,1098.0,593,36,40.1,5,73.1,,54.1,50.2,5.6,29.8
593,591-600,Politecnico di Bari,https://www.topuniversities.com/universities/politecnico-di-bari,"Bari, Italy",-,10229.0,78.0,251,8.8,76.2,4.3,12.5,,34.5,5.6,5.6,11.8
594,591-600,Sungshin Women's University,https://www.topuniversities.com/universities/sungshin-womens-university,"Seoul, South Korea",-,9447.0,394.0,"1,550",4.2,1.2,6.3,4.3,,5.3,3.4,3.4,92.4
595,591-600,University of Crete,https://www.topuniversities.com/universities/university-crete,"Heraklion, Greece",-,14119.0,597.0,433,4.3,62.4,13.7,12,,57,1.8,14.9,3.7
596,591-600,University of Guelph,https://www.topuniversities.com/universities/university-guelph,"Guelph, Canada",-,20992.0,2144.0,"1,077",14.7,41.7,31.5,15.7,,68.6,46.3,13.5,6
597,591-600,University of Jordan,https://www.topuniversities.com/universities/university-jordan,"Amman, Jordan",-,35256.0,5237.0,"2,798",28.7,2.9,38.6,30.8,,57.8,18.3,26.9,17
598,591-600,University of Minho,https://www.topuniversities.com/universities/university-minho,"Braga, Portugal",-,19843.0,2914.0,"1,934",28.1,17.8,8.7,8.3,,82,19.1,16,39
599,591-600,University of Pretoria,https://www.topuniversities.com/universities/university-pretoria,"Pretoria, South Africa",-,36492.0,2392.0,"1,707",7.4,21.1,47.7,56,,94.6,31.1,23.4,3.4
600,601-650,Abo Akademi University,https://www.topuniversities.com/universities/abo-akademi-university,"Turku, Finland",-,5620.0,427.0,502,9.3,37.5,8.4,9.1,,65.7,48.9,8.4,28.4
601,601-650,Al Ain University,https://www.topuniversities.com/universities/al-ain-university,"Al Ain,, United Arab Emirates",-,2900.0,1603.0,198,100,2.8,11.5,32.8,,16.9,100,13.5,11.1
602,601-650,Bangor University,https://www.topuniversities.com/universities/bangor-university,"Bangor, United Kingdom",-,8206.0,1858.0,729,59.4,29.4,4.5,12.9,,64.5,54.3,8.6,19.5
603,601-650,Carleton University,https://www.topuniversities.com/universities/carleton-university,"Ottawa, Canada",-,26192.0,5371.0,939,50.8,45.5,18.3,47,,58.2,36.2,9.6,2.8
604,601-650,Chiang Mai University,https://www.topuniversities.com/universities/chiang-mai-university,"Chiang Mai, Thailand",-,34794.0,1453.0,"2,651",4.2,3.8,26.1,24.6,,61.1,4.2,31.9,16
605,601-650,East China University of Science and Technology,https://www.topuniversities.com/universities/east-china-university-science-technology,"Shanghai, China (Mainland)",-,28975.0,509.0,"2,106",2,66,2.5,5.5,,42.8,3.3,6.5,15.6
606,601-650,Edith Cowan University,https://www.topuniversities.com/universities/edith-cowan-university,"Joondalup, Australia",-,14233.0,4815.0,878,91.7,28.8,9.8,7.9,,64.4,64.4,8.1,8.5
607,601-650,Gifu University,https://www.topuniversities.com/universities/gifu-university,"Gifu City, Japan",-,7273.0,267.0,"1,003",3.7,7.2,2.1,3.8,,22.5,4.7,4.7,76.7
608,601-650,Immanuel Kant Baltic Federal University,https://www.topuniversities.com/universities/immanuel-kant-baltic-federal-university,"Kaliningrad, Russia",-,8134.0,1224.0,"1,124",29.4,1.7,2.2,4,,29.1,17.2,6.6,71.8
609,601-650,Ivane Javakhishvili Tbilisi State University,https://www.topuniversities.com/universities/ivane-javakhishvili-tbilisi-state-university,"Tbilisi, Georgia",-,22475.0,663.0,"3,082",3,1.2,3.6,60.2,,13.4,2.7,8,78.1
610,601-650,Istanbul Technical University,https://www.topuniversities.com/universities/istanbul-technical-university,"Maslak-Istanbul, Turkey",-,24087.0,2842.0,"1,728",18.9,10.9,49.1,25,,66.7,4.8,21.9,15
611,601-650,Jawaharlal Nehru University,https://www.topuniversities.com/universities/jawaharlal-nehru-university,"New Delhi, India",-,8840.0,152.0,622,2,19.7,9.6,12.6,,37.6,,28.2,16
612,601-650,Kanazawa University,https://www.topuniversities.com/universities/kanazawa-university,"Kanazawa, Japan",-,9893.0,634.0,"1,255",7.1,12.6,3.3,4.2,,42.3,12.5,8.1,66.7
613,601-650,"Kingston University, London",https://www.topuniversities.com/universities/kingston-university-london,"Kingston upon Thames, United Kingdom",-,15893.0,6635.0,884,98.7,9.7,12.1,18.6,,60.5,73.5,16.6,7.4
